Spanish,English
de,of
que,what
no,do not
a,to
la,the
el,the
y,and
es,is
en,in
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,is
mi,me
pero,but
si,Yes
bien,good
eso,that
su,its
las,the
yo,me
del,of
como,What
aquí,here
tu,you
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,I'm
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
bueno,Okay
tengo,I have
él,he
cuando,when
estás,are
sé,he
tú,your
nos,us
nada,nothing
cómo,as
este,this
o,or
he,I
ser,to be
tiene,It has
puedo,may l
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,it was
soy,am
sólo,single
todos,everybody
porque,because
son,are
tienes,have
creo,I think
voy,I go
sabes,know
estaba,was
puede,can
eres,are
ese,that
usted,you
entonces,then
hola,Hello
solo,only
verdad,true
casa,home
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
va,he
oh,oh
favor,favor
mucho,a lot of
mí,my
quieres,you want
siento,I feel
señor,Mister
mejor,better
hace,make
has,you
decir,tell
también,as well
sobre,on
dios,God
sin,without
tenemos,we have
están,is it so
ti,you
puedes,you can
ver,watch
hombre,men
vida,lifetime
alguien,somebody
cosas,things
siempre,forever
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,be
ni,neither
poco,little
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,We
parece,It seems
gente,people
sea,be
padre,dad
mira,look
mismo,same
dijo,He said
nadie,no one
quiere,wants
podría,might
hablar,speak
vas,you go
ellos,they
sr.,Mr.
tal,such
pasa,happens
fuera,out of
después,then
han,they have
desde,since
dinero,money
mundo,world
claro,Clear
momento,moment
les,them
tener,to have
estado,condition
otro,other
había,there was
mañana,morning
tenía,I had
madre,mother
vale,okay
lugar,place
haciendo,doing
donde,where
seguro,safe
sabe,knows
podemos,can
tus,your
espera,wait
nuevo,new
sido,been
cosa,thing
hijo,child
allí,there
menos,less
tipo,kind
amigo,friend
gran,big
nuestro,our
mujer,woman
mamá,mother
luego,soon
papá,dad
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,said
oye,Hey
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,evil
debe,has to
realmente,Really
estas,these
aún,still
mío,Own
toda,all
hacerlo,do it
cada,every
visto,viewed
importa,matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,to know
hizo,made
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,afternoon
problema,trouble
hora,time
cierto,sure
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,last
familia,family
estos,these
policía,police
debería,should
ustedes,your
chica,girl
esos,those
chicos,Boys
cuenta,bill
haces,you do
todavía,yet
salir,leave
algún,some
vaya,Wow
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,I knew
cabeza,head
ah,ah
cariño,Dear
digo,say
van,go
hombres,mens
buenas,good
somos,are
cualquier,any
forma,form
mientras,while
lado,side
debo,I must
sería,would
caso,case
pueden,may
pasó,I pass
primera,first
genial,great
chico,guy
supuesto,supposed
hice,I did
pues,well
adiós,goodbye
muchas,many
personas,persons
señora,Lady
volver,return
esas,those
quizá,maybe
contra,against
camino,path
durante,during
hablando,talking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which one
ayuda,help
historia,history
iba,I was going
supongo,suppose
nueva,new
entiendo,I get it
dentro,within
casi,almost
puerta,door
ves,you see
pasar,happen
primero,first
significa,it means
semana,week
hacia,toward
quizás,maybe
espero,wait
juntos,together
año,anus
niños,children
pronto,early
tío,uncle
suerte,luck
ciudad,city
siquiera,at least
feliz,happy
venir,come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,hey
muerte,death
dejar,let
realidad,reality
deja,let
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,afraid
jefe,boss
agua,Water
haré,I will do
justo,just
horas,hours
poder,can
buenos,good
esposa,wife
manos,hands
debes,you should
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,ahead
encontrar,find
mano,hand
cinco,five
niño,little boy
ninguna,none
otros,others
cara,expensive
cuidado,careful
bajo,low
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,Quite
fin,finish
tomar,have
único,unique
misma,same
escucha,listens
ningún,any
suficiente,enough
punto,point
cuándo,when
sigue,follow
haya,is
equipo,team
grande,big
necesita,needs
llegar,arrive
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,though
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
mas,more
dices,say
pequeño,little
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,above
tierra,land
guerra,war
pensar,think
pueda,can
igual,Likewise
loco,crazy
sangre,blood
mujeres,women
vuelta,return
fui,I was
trabajar,to work
tenido,Dyed
juego,game
deberías,you should
cuerpo,body
e,and
algunas,some
entrar,get in
cree,cree
podía,I could
debemos,must
oportunidad,chance
teléfono,phone
necesitamos,need
final,final
listo,clever
fiesta,party
muchos,Many
estabas,you were
quieren,they want
vete,go away
auto,car
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,fault
abajo,down
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,this
ello,it
pregunta,question
chicas,girls
eran,they were
unas,nail
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,Mr / Ms.
bebé,baby
segundo,second
sabemos,we know
mayor,higher
comida,food
morir,To die
conozco,know
dame,give to me
fácil,easy
comer,eat
vino,wine
lista,list
haga,make
necesitas,you need
hijos,sons
probablemente,probably
padres,parents
habitación,bedroom
creer,believe
pensando,thinking
fueron,were
dime,tell me
trata,about
buscando,searching
tuve,I had
tampoco,neither
amo,love
joven,young
podrías,could you
sola,alone
par,pair
única,only
hacen,do
seguir,"follow, continue"
dr.,dr.
simplemente,simply
dicen,say
medio,"means, medium"
puta,bitch
saben,they know
sentido,sense
hagas,you do
segura,safe
esperar,wait
lejos,far
arma,weapon
alto,high or tall
pequeña,small
dólares,Dollars
seis,six
estaban,They were
seguridad,security
maldita,damned
estuvo,he was
preocupes,worry
palabra,word
esperando,expecting
queda,is left over
oficina,office
matar,kill
iré,I will go
cama,bed
además,what's more
último,latest
oído,hearing
habría,there would be
estará,will be
dio,gave
recuerdo,I remember
siendo,being
acerca,about
tenga,have
luz,light
correcto,Right
ud.,You.
demonios,got damn
nuestras,our
verte,to see you
dormir,sleep
sitio,site
ayudar,to help
conseguir,to get
di,gave
marido,husband
paz,peace
idiota,moron
plan,plan
dado,dice
cuanto,how much
peor,worse
murió,he died
pueblo,town
vivo,alive
venido,I come
john,john
basta,Enough
paso,He passed
deberíamos,we should
música,music
diga,tell
minuto,minute
anoche,last night
llamar,to call
piensa,think
país,country
digas,you say
rey,King
perdón,sorry
mucha,a lot
falta,lack
pienso,I think
diablos,Devils
perdido,lost
niña,little girl
señorita,miss
diez,ten
lleva,carry
hospital,hospital
grandes,big
maldito,damned
otras,other
llamado,called
hacemos,we make
llevar,wear
fuego,fire
aqui,here
tuvo,He had
poner,set
calle,Street
acaba,just
prueba,proof
increíble,amazing
real,real
libro,book
orden,order
semanas,weeks
especial,special
mía,mine
café,coffee
duro,Lasted
empezar,begin
afuera,outside
queremos,we want
perro,dog
cielo,Darling
jack,Jack
puesto,Market Stall
viaje,travel
detrás,behind
cuarto,bedroom
querida,Dear
haría,would do
preguntas,questions
piensas,think
querido,my love
libre,free
buscar,search
cual,which
diré,I'll say
suena,dream
jugar,play
cambio,change
película,film
millones,millions
habrá,there will be
llamada,call
resto,rest
vemos,we see
extraño,strange
mala,bad
presidente,President
srta.,Ms.
irme,leave
ropa,clothing
perder,to lose
vuelve,comes back
agente,agent
palabras,words
información,information
raro,weird
hará,will
entiendes,You understand
éste,this
trabajando,working
tratando,trying
general,general
trato,treatment
usar,use
perfecto,perfect
derecho,right
modo,mode
ayer,Yesterday
conoces,you know
demás,the rest
quieras,want
podríamos,we could
noticias,news
asesino,assassin
encontrado,found
control,control
odio,hate
frente,front
sexo,sex
decirle,tell
estaré,I will be
divertido,funny
armas,weapons
recuerdas,remember
amiga,friend
grupo,group
asunto,affair
acabo,finished
mensaje,message
encima,above
atención,attention
diferente,different
uh,uh
cállate,shut
daño,hurt
sucede,happens
cambiar,change
siguiente,following
sino,otherwise
the,the
seas,be
médico,doctor
boca,mouth
dejó,let
error,error
jamás,Never
largo,length
pena,pain
voz,voice
futuro,future
siente,feels
secreto,secret
baño,bath
mil,one thousand
decirte,tell you
sam,sam
pensaba,thought
novia,bride
propia,own
sueño,dream
haz,do
fuerza,force
deben,should
supone,supposed
estábamos,we were
ambos,both of them
ay,Oh
estuve,was
encontré,I found
vuelto,turned
dolor,pain
dile,tell him
encanta,loves
edad,age
darle,give him
pie,foot
negro,black
ganar,to win
york,york
aire,air
lamento,lament
verlo,see him
asesinato,murder
vio,he saw
adónde,where to
llegado,arrived
disculpe,excuse me
s,s
cita,date
estaría,It would
fuiste,you were
sistema,system
gusto,taste
pobre,poor
negocio,deal
mente,mind
tuyo,yours
campo,field
mire,Look
situación,situation
tras,after
hotel,hotel
vosotros,you
funciona,it works
foto,Photo
abogado,attorney
loca,crazy
propio,own self
alrededor,around
próxima,next
terminado,finished
hablas,speak
pagar,to pay
mató,he killed
llamo,I call
personal,personal
sientes,you feel
ocurre,occurs
ésta,is
recuerda,remember
mitad,half
quiera,want
pelo,hair
tenías,had
viste,dresses
oficial,official
llegó,I arrive
compañía,company
relación,relationship
conoce,known
pase,happens
montón,heap
mejores,top
creí,thought
cena,Dinner
sentir,feel
través,through
accidente,accident
i,i
ellas,they
caja,box
tranquilo,quiet
bonito,nice
eras,ages
asi,So
pudo,could
vive,it lives
vista,sight
estúpido,stupid
línea,line
caballeros,gentlemen
haremos,will
dan,give
quédate,stay
tienda,store
comprar,purchase
entendido,understood
centro,center
salvo,except
mes,month
joe,joe
sol,Sun
tonto,fool
hambre,hunger
michael,Michael
mesa,table
respuesta,answer
completamente,completely
david,David
carta,letter
totalmente,totally
imposible,impossible
pruebas,tests
novio,boyfriend
normal,normal
gustan,like
frank,frank
pude,I could
charlie,charlie
traje,suit
dirección,address
siete,seven
dijeron,they said
placer,pleasure
sean,are
tendrá,will have
barco,boat
blanco,White
tom,tom
profesor,teacher
servicio,service
muchacho,young guy
reunión,meeting
dejado,left
ley,law
quisiera,I'd like
hubo,there was
george,george
programa,Program
carrera,race
cumpleaños,birthday
muchachos,boys
culo,ass
canción,song
hermosa,beautifull
universidad,University
boda,wedding
decirme,tell me
cualquiera,anyone
tengas,you have
hacía,toward
estés,re
sala,living room
llevo,I wear
decisión,decision
espere,Wait
don,Don
necesario,necessary
sal,Salt
entra,enters
prisa,rush
carajo,fuck
embargo,embargo
interesante,interesting
tendrás,you will have
escuchar,hear
abuela,Grandma
hicieron,they made
detective,detective
horrible,horrible
suelo,ground
fotos,Photos
cárcel,jail
acá,here
io,io
mike,mike
siéntate,Sit down
decía,He said
intentando,trying
vámonos,Let's go
maldición,curse
silencio,be quiet
muerta,dead
capaz,capable
salió,he left
club,club
terminar,finish
temo,fear
broma,joke
gobierno,government
prometo,I promise
cámara,camera
media,half
terrible,terrible
llamó,I call
regalo,gift
amable,friendly
dulce,sweet
muertos,dead
querías,wanted
ataque,attack
das,you give
navidad,Christmas
negocios,business
pudiera,could
ocho,Eight
avión,plane
investigación,research
acabó,just
juro,I swear
mantener,keep
ejército,army
papel,paper
partes,parts
ten,ten
gracioso,funny
diría,would say
principio,beginning
delante,in front
teniente,lieutenant
deseo,desire
vayas,go
nave,ship
sale,comes out
basura,trash
vine,came
contacto,Contact
esposo,husband
tren,train
encontramos,we find
dale,Go ahead
verdadero,true
tuya,yours
alma,soul
hazlo,do it
disculpa,sorry
junto,together
anda,anda
tendré,I will have
matrimonio,marriage
saberlo,I know
locura,craziness
oro,gold
permiso,Excuse me
director,director
peligro,danger
libertad,Liberty
alegro,glad
baja,come down
tendremos,we will have
derecha,right
encuentra,find
pies,feet
segunda,second
maravilloso,marvelous
espacio,space
rato,little while
abuelo,Grandpa
esperaba,I expected
mirando,looking
salud,Health
sorpresa,surprise
ninguno,none
miren,look
triste,sad
aun,yet
pensado,thought-out
maestro,teacher
según,according
infierno,hell
podrían,could
tipos,types
tía,aunt
crimen,crime
conocido,known
consejo,advice
ante,in view of
iglesia,church
intento,tried
mayoría,most
doy,give
peter,peter
hicimos,we did
escena,scene
piso,floor
señal,sign
honor,honor
llamas,calls
abre,opens
cerebro,brain
veras,you'll see
viendo,seeing
pone,places
pregunto,I ask
cocina,kitchen room
vestido,dress
inteligente,intelligent
vieja,old woman
caballo,horse
vienen,they come
vidas,lifes
bar,Pub
corte,court
sucedió,it happened
adentro,inside
drogas,drugs
enseguida,right away
busca,seeks
agradable,nice
carne,meat
parecía,looked like
departamento,Department
lindo,cute
mar,sea
duda,doubt
edificio,edifice
conocer,know
cargo,post
víctima,victim
luna,Moon
energía,Energy
frío,cold
hablo,talked
baile,dance
trabaja,works
misión,mission
listos,ready
ayudarte,help you
izquierda,left
paul,paul
beber,to drink
deje,leave
finalmente,Finally
simple,simple
daré,I'll give
sabías,You know
puedas,can
puso,put
creía,thought
regresar,to return
llega,arrives
entender,understand
mirar,look at
sacar,take
cambiado,changed
trae,brings
hermoso,handsome
opinión,opinion
verás,you'll see
linda,pretty
apenas,barely
segundos,seconds
cerveza,beer
harás,you will do
estuviera,was
creen,believe
oír,hear
tendría,would have
cuántos,many
hablado,spoken
hablamos,We speak
reina,Queen
temprano,early
tema,topic
prisión,prison
porqué,why
vuelva,return
público,public
ocurrió,occurred
veré,I will see
salvar,save
partido,match
bonita,pretty
joder,fuck
causa,cause
caliente,hot
sargento,sergeant
cenar,dinner
compañero,companion
llevó,I wear
banco,Bank
existe,exists
ben,ben
zona,zone
destino,destination
base,base
solía,used to
cliente,client
irse,leave
perra,bitch
james,James
encuentro,meeting
encontró,he found
pelea,Fight
san,saint
norte,North
quise,I wanted
coronel,colonel
apuesto,handsome
peligroso,dangerous
viva,live
max,max
vienes,you come
necesitan,need
té,tea
excepto,except
juicio,judgment
podamos,we can
llave,wrench
equivocado,wrong
posición,position
trasero,rear
irnos,leave
espalda,back
excelente,Excellent
éxito,success
modos,modes
ventana,window
veamos,let's see
especie,species
teníamos,we had
diferencia,difference
formas,shapes
pedir,ask
últimos,latest
escúchame,listen to me
ejemplo,example
ése,that
radio,radio
lee,read
calma,Calm down
hogar,home
volveré,I will be back
fondo,background
humano,human
henry,Henry
tí,you
iremos,we'll go
unidos,United
habían,they had
jesús,Jesus
planeta,planet
verme,see me
respecto,respect
regreso,he came back
debido,due
seré,I will be
tenían,They had
leer,read
parar,stop
lleno,full
dejé,leave
respeto,I respect
debajo,below
harry,harry
escribir,to write
estación,station
pidió,he asked
alta,high
pista,clue
estrella,star
enfermo,sick
duele,hurts
sueños,dreams
veremos,we will see
miles,Thousands
darme,give me
órdenes,orders
ocupado,occupied
sigues,are you still
corre,runs
podido,I have
dejes,leave
nivel,level
habéis,have
experiencia,experience
darte,to give you
salida,exit
decirlo,I say
confiar,trust
hacerte,make
necesitaba,needed
hermanos,siblings
zapatos,shoes
color,color
vistazo,glance
nena,Chick
tratar,try
parecer,look
juez,judge
próximo,next
paciente,patient
hayas,have
bolsa,bag
arte,art
mary,mary
jugando,Playing
llevas,take
alegra,happy
bailar,to dance
diablo,Devil
oí,I heard
sepa,know
estarás,you will
sur,south
banda,band
aprender,to learn
precio,price
completo,full
santo,holy
culpable,guilty
ganas,desire
tuvimos,we had
you,you
verla,see it
volvió,went back
libros,books
ojo,eye
serán,will be
cielos,Heavens
matado,killed
azul,blue
diferentes,different
irte,leave
ia,ia
comandante,commander
acción,action
reglas,rules
obra,construction site
esperanza,hope
cuestión,question
molesta,upset
teniendo,having
bill,bill
informe,report
jimmy,jimmy
río,River
bienvenido,welcome
abrir,open
tocar,play
bob,bob
contar,tell
sigo,I follow
interior,inside
apartamento,apartment
vea,see
estados,state
estáis,you are
preocupa,worries
tomó,I take
principal,principal
empieza,starts
londres,London
empezó,it started
vayan,go
jim,jim
llaman,call
ojalá,Maybe
perdona,forgives
vuelvo,I come back
golpe,knock
quedarme,stay
llamaré,I will call
acabado,finish
estilo,style
nueve,nine
definitivamente,definitely
quedar,meet
cartas,cards
bomba,bomb
guardia,guard
pistola,gun
probar,try
majestad,majesty
traer,bring
marcha,March
pareces,look
común,common
aquel,that
hacerle,make
vuelo,flight
nota,note
danny,danny
humanos,humans
estaremos,we will be
valor,value
suyo,yours
objetivo,target
repente,suddenly
debía,should
rojo,Red
bromeando,joking
irá,go to
entrada,entry
doble,double
dejaré,I'll leave
evitar,avoid
máquina,machine
cuello,neck
conocí,I met
tiempos,time
tome,take
nick,nick
animales,animals
alex,alex
acaso,perhaps
tuviera,had
pareja,couple
verano,summer
escuché,listen
ama,love
serás,you will
mentira,lie
tarjeta,card
hagan,make
perdí,I missed
correr,to run
steve,steve
traído,brought
llegue,I arrived
preparado,prepared
haberlo,I have
tony,tony
usa,uses
intentar,try
ayudarme,help me
flores,flowers
dando,giving
vos,you
opción,option
isla,Island
cierra,closes
piel,skin
enemigo,enemy
dejo,left
exacto,exactly
imbécil,fool
jóvenes,youths
pedido,order
larga,long
entiende,understands
justicia,Justice
nuevos,new
obviamente,obviously
despierta,awake
pido,I ask
calor,hot
luces,lights
refiero,I mean
fuimos,we went
batalla,battle
déjalo,leave it alone
intenta,try
sarah,sarah
fantástico,fantastic
brazo,arm
absolutamente,absolutely
llena,full
hacerme,me
salga,out
recordar,remember
escapar,escape
bosque,Forest
gay,gay
señores,Sirs
quedan,are
piernas,legs
visita,visit
parís,Paris
usando,using
ganado,won
movimiento,movement
blanca,White
rico,rich
inocente,innocent
pesar,to weigh
absoluto,absolute
vacaciones,holidays
um,um
mismos,same
tomado,taken
habías,had
planes,plans
cine,movie theater
toca,plays
brillante,sparkly
confianza,trust
vuestra,your
nombres,Names
especialmente,especially
fbi,fbi
embarazada,pregnant
esperen,expect
pantalones,pants
defensa,defending
terminó,finished
salido,stepped out
estupendo,great
jane,jane
presión,Pressure
inmediatamente,immediately
testigo,witness
deberían,should
olvidado,forgotten
soldados,soldiers
resulta,result
tommy,tommy
depende,depends
motivo,reason
inglés,English
suya,hers
estudio,study
acabar,finish
sentimientos,feelings
tomando,taking
dieron,they gave
parecen,they look like
llaves,keys
perros,dogs
propósito,purpose
noticia,News
partir,from
vuestro,your
metros,meters
santa,St.
quedarse,to stay
clientes,customers
podrá,you can
cuántas,how many
ridículo,ridiculous
damas,ladies
estuviste,you were
tranquila,quiet
operación,operation
come,eat
empresa,business
ayúdame,Help me
laboratorio,laboratory
elección,choice
menudo,often
beso,kiss
copa,Cup
conversación,conversation
brazos,arms
espíritu,spirit
dejas,you let
cansado,tired
interesa,interested
refieres,mean
casado,married
enorme,enormous
asuntos,issues
fe,faith
muestra,shows
trampa,trap
ray,ray
billy,billy
memoria,memory
johnny,johnny
contrario,contrary
soldado,soldier
subir,rise
turno,turn
encantaría,love
preocupado,concerned
restaurante,restaurant
saliendo,coming out
escrito,written
cálmate,take it easy
bienvenida,welcome
caer,fall out
llevaré,I'll take
leche,milk
estrellas,stars
prefiero,I prefer
red,net
viejos,old
solamente,only