French,English
de,of
je,I
est,is
pas,not
le,the
que,than
la,the
vous,you
tu,you
un,a
c',vs'
à,at
et,and
il,he
a,at
l',the
ne,born
les,the
en,in
on,we
ça,it
une,a
d',of
ce,this
qu',that
pour,for
ai,have
n',not'
des,of the
qui,who
mais,But
dans,in
nous,we
elle,she
me,me
bien,good
si,if
du,of
y,there
suis,am
non,no
avec,with
tout,all
plus,more
mon,my
te,you
au,at
fait,made
moi,I
oui,Yes
va,go
était,was
as,ace
faire,to do
ils,they
sur,sure
quoi,what
se,himself
comme,as
sais,know
être,be
veux,want
ici,here
ma,my
toi,you
est-ce,Is
dit,said
lui,him
votre,your
es,es
pourquoi,Why
où,or
là,the
rien,nothing
cette,this
sont,are
quand,when
peux,can
dire,say
son,his
avez,have
vais,am going to
alors,so
ton,your
comment,How? 'Or' What
par,by
ou,or
chose,thing
bon,Well
ont,have
merci,thank you
juste,fair
très,very
jamais,never
été,summer
aussi,too
avoir,to have
vraiment,really
voir,see
même,even
sa,her
maintenant,now
tous,all
peut,can
deux,of them
ces,these
êtes,are
allez,going
ta,your
autre,other
peu,little
temps,time
quelque,some
fais,do
toujours,always
encore,again
notre,our
mes,my
besoin,need
avait,had
accord,agreement
faut,should
dois,have
vie,life
peut-être,perhaps
aller,to go
fois,times
vu,seen
donc,so
sans,without
monde,world
étais,was
parce,by
avant,before
sûr,sure
trop,too much
quelqu',someone
parler,speak
personne,no one
avais,had
père,dad
crois,think
après,after
aux,to the
dieu,God
ouais,yeah
ses,his
pense,thought
eu,had
aime,love
leur,their
homme,man
viens,come
vrai,true
femme,women
ok,okay
doit,must
veut,wants
ans,years
mal,wrong
chez,in
déjà,already
depuis,since
beaucoup,a lot
vos,your
bonne,good
mort,death
mieux,better
vas,going
mère,mother
sera,will be
dis,tell
fille,girl
tes,your
gens,people
quel,what
vois,see
désolé,sorry
ca,it
voilà,here
avons,have
petit,small
maison,House
soit,is
cela,it
autres,other
toute,all
soir,evening
passé,past
prendre,take
jour,day
monsieur,gentleman
nos,our
savoir,know
choses,things
salut,Hi
cet,this
nom,last name
argent,silver
bonjour,Hello
nuit,night
raison,reason
moins,less
arrive,come
maman,mom
reste,rest
moment,moment
voulais,wanted
seul,alone
aider,help
air,air
entre,Between
papa,dad
passe,past
aurais,would
problème,problem
peur,fear
regarde,looked
voulez,want
gars,guys
trouvé,find
fils,son
attends,hold on
savez,know
jusqu',up
trouver,find
trois,three
assez,enough
famille,family
dû,of
eh,eh
toutes,all
plaît,please
pourrait,could
travail,job
pris,taken
pu,could
tête,head
quelle,what
sait,know
sommes,are
appelle,call
quelques,a few
faites,make
partir,go
vite,quickly
arrête,stopped
seule,only
serait,would be
voiture,car
enfants,children
tuer,kill
merde,Fuck
hé,Hey
pendant,while
idée,idea
chance,luck
parle,speak
aurait,would have
part,go
elles,they
jours,days
grand,tall
aujourd'hui,today
venir,come
ami,friend
demain,tomorrow
hein,huh
tard,late
puis,then
truc,thing
passer,pass
petite,small
tant,so
connais,know
combien,how much
mec,guy
sens,meaning
pouvez,can
porte,door
sortir,exit
super,Great
heure,hour
contre,against
coup,stroke
comprends,understand
entendu,heard
vient,just
allons,let's go
ensemble,together
nouveau,new
amour,love
importe,imported
sang,blood
désolée,sorry
cas,case
sous,under
rester,stay
amis,friends
prends,take
fini,finished
hommes,men
tué,kill
question,question
partie,part
histoire,history
devrais,should
aide,help
dernière,latest
demande,request
chercher,look for
pensais,thought
genre,kind
seulement,only
police,police
car,because
mois,month
frère,brother
laisser,let
aucun,no
mettre,to put
eux,them
laisse,leash
chaque,each
ville,city
arrivé,come
devrait,should
parlé,speak
avez-vous,have you got
vont,will
longtemps,long time
aucune,any
heures,hours
bébé,baby
place,square
revoir,meet again
putain,whore
compris,including
ni,or
savais,knew
leurs,their
étaient,were
attention,Warning
donner,give
affaire,case
endroit,in law
pourrais,could
corps,body
façon,way
donné,given
est-il,is it
voici,here is
train,train
dont,whose
écoute,listen
yeux,eyes
trouve,find
pouvoir,power
type,type
perdu,lost
premier,first
première,first
côté,side
point,point
tellement,so much
main,hand
tiens,here
sois,be
enfant,child
vieux,old
matin,morning
venu,came
pardon,sorry
là-bas,over there
suite,after
vers,towards
minutes,minutes
demandé,request
venez,come
devant,in front of
dr,dr
enfin,finally
arrêter,Stop
cause,cause
nouvelle,new
attendez,Wait
chambre,bedroom
droit,law
parti,left
mis,placed
eau,water
compte,account
dirait,would say
terre,Earth
belle,pretty
espère,hope
aimerais,would like to
loin,far
as-tu,did you
mari,husband
donne,given
fin,end
croire,believe
mme,Mrs
aura,will have
gros,large
boulot,job
plutôt,rather
chérie,sweetheart
prêt,ready
filles,girls
bureau,office
mourir,die
hier,yesterday
possible,possible
jouer,to play
demander,request
celui,the one
voulait,wanted to
beau,handsome
jeune,young
euh,uh
dehors,outside
docteur,doctor
a-t-il,does he have
confiance,trust
appeler,call
années,years
vérité,truth
école,school
chef,chief
femmes,women
propos,about
semaine,week
vivre,live
regardez,look
feu,fire
journée,day
madame,Mrs
hey,hey
téléphone,phone
près,near
affaires,business
meilleur,better
devez,must
dessus,above
mains,hands
penses,think
prie,pray
équipe,team
vas-y,go ahead
grande,big
manger,eat
arriver,arrive
dur,hard
guerre,war
ait,has
appelé,called
marche,market
sécurité,security
garçon,boy
essaie,try
important,important
dites,say
exactement,exactly
font,make
fort,strong
presque,almost
plein,full
derrière,behind
ben,ben
mariage,wedding
parents,parents
capitaine,captain
dernier,latest
fou,crazy
ceux,those
tomber,fall
attendre,wait
vue,view
pensé,thought
souviens,remember
envie,desire
fête,Party
jeu,Game
génial,awesome
pays,country
garde,keep
cours,Classes
bientôt,soon
numéro,number
personnes,people
cinq,five
parfait,perfect
excusez-moi,excuse me
laissé,leash
ainsi,so
retour,return
semble,seems
autant,as much
peine,trouble
minute,minute
essayé,tried
plan,plan
instant,moment
serai,will
prison,jail
penser,think
essayer,try
prend,take
arme,armed
mauvais,bad
mot,word
travailler,to work
quatre,four
rentrer,return
regarder,watch
choix,choice
êtes-vous,are you
parfois,sometimes
film,movie
abord,on board
voyez,see
faute,fault
facile,easy
croyais,thought
bas,low
changer,switch
entendre,hear
plaisir,pleasure
heureux,happy
entrer,enter
voudrais,would like
es-tu,are you
propre,clean
étiez,were
tour,tower
fera,will
ensuite,then
garder,keep
agent,agent
allait,was going to
lit,bed
travaille,work
adore,love
amie,friend
rendre,return
allons-y,let's go
route,road
lieu,location
année,year
voit,sees
commence,begin
service,service
devoir,duty
attend,waits
drôle,funny
difficile,difficult
sûre,safe
pire,worst
pos,pos
peuvent,can
sujet,topic
état,state
ceci,this
impossible,impossible
sorte,kind
perdre,to lose
dollars,dollars
voulu,desired
morte,dead woman
ira,will
faisait,was
bizarre,weird
oublié,forget it
arrêtez,stop
ferai,will
serais,would
tôt,early
inquiète,worry
payer,pay
coeur,heart
dès,from
pouvais,could
reviens,come back
chien,dog
suffit,enough
prenez,take
pensez,think
café,Coffee
calme,calm
cherche,looking
montrer,to show
parles,talk
photo,Photo
ferme,closed
problèmes,problems
the,tea
cœur,heart
sûrement,surely
verre,glass
aimes,love
devons,must
veulent,want
doute,doubt
musique,music
courant,current
sauf,except
moyen,way
nouvelles,news
puis-je,can I
avis,view
sauver,to save
hôpital,hospital
questions,Questions
meurtre,murder
sérieux,serious
seconde,second
trucs,stuff
comprendre,understand
allais,going
esprit,mind
cool,cool
mlle,Ms
marché,market
fous,crazy
laisse-moi,leave me
haut,high
salle,room
malade,sick
changé,exchange
gentil,kind
allé,go
six,six
simple,simple
john,john
semaines,weeks
celle,that
jack,jack
appris,learned
seigneur,Lord
dîner,having dinner
sors,go outside
commencé,begin
suppose,Assumed
chemin,path
partout,all over
bras,arms
cul,ass
prochaine,next
visage,face
meilleure,best
face,face
soirée,evening
roi,King
surtout,mostly
retard,delay
écrit,written
livre,delivered
rapport,report
chéri,Darling
message,message
voulez-vous,Do you want
vaut,worth
ferais,would
morts,dead
boire,to drink
soyez,are
président,President
plait,please
bois,wood
sinon,if not
erreur,fault
new,new
ecoute,listen
mr,mr
rentre,returns
rendez-vous,Appointment
devait,was
revenir,return
joue,play
pauvre,poor
devenir,to become
rencontrer,meet
sort,fate
commencer,to start
pouvait,could
occupe,busy
entends,hear
souvent,often
pièce,room
reçu,received
grave,serious
mets,dish
intérieur,inside
honneur,honor
dormir,to sleep
an,year
faux,false
messieurs,gentlemen
groupe,group
rêve,dream
carte,menu
aviez,had
appel,call
manque,lack
envoyé,sent
début,beginning
sam,sat
puisse,can
écoutez,Listen
laissez-moi,let me
bonsoir,Good evening
content,happy
secret,secret
venue,arrival
cher,expensive
dis-moi,tell me
effet,effect
voyons,see
sac,bag
continue,keep on going
acheter,buy
voix,voice
certains,some
occuper,to occupy
noël,Christmas
gagner,to win
grâce,grace
maître,master
prix,price
mauvaise,bad
général,general
âge,age
long,long
rue,street
tirer,shoot
apprendre,learn
cheveux,hair
noir,black
promis,promised
avaient,had
patron,boss
avocat,lawyer
force,strength
accident,accident
dix,ten
probablement,probably
laissez,leave
bout,end
ordre,order
armes,arms
cru,vintage
déteste,hated
retrouver,find
millions,million
incroyable,unbelievable
voyage,trip
ailleurs,elsewhere
oublie,forget it
ressemble,looks like
bienvenue,welcome
disparu,faded away
protéger,protect
utiliser,use
situation,situation
petits,small
aurai,have
veux-tu,do you want
connaissez,know
simplement,simply
scène,scene
sœur,sister
prête,ready
oncle,uncle
devriez,should
liste,listing
soeur,sister
complètement,completely
dos,back
armée,army
paix,peace
battre,beat
york,york
crime,crime
anniversaire,anniversary
finir,finish
réussi,success
agit,is
retourner,return
sale,dirty
libre,free
bouge,moves
contrôle,control
rappelle,remember
arrêté,stopped
hôtel,hotel
idiot,idiot
okay,okay
rencontré,meet
restez,stay
absolument,absolutely
mots,words
victime,victim
impression,impression
décidé,decided
sympa,friendly
pars,leave
fasse,make
avion,plane
bordel,whorehouse
habitude,habit
table,table
rouge,red
système,system
photos,Pictures
médecin,doctor
seras,shalt
bateau,boat
stupide,stupid
faim,hunger
autour,around
fond,background
surprise,surprise
croyez,believe
devais,had
ligne,line
porter,carry
imagine,conceived
colère,anger
clair,clear
seront,will
savait,knew
balle,ball
gagné,won
or,gold
hors,except
magnifique,magnificent
risque,risk
terminé,completed
su,knew
heureuse,happy
mission,mission
jolie,pretty one
parlez,speak
présent,present
sorti,got out
cadeau,gift
expliquer,explain
volé,Fly
plusieurs,many
gauche,left
ferait,would do
neuf,new
passe-t-il,going there
ouvre,opens
disais,said
dedans,in
disent,say
pouvons,can
allez-y,Go for it
suivre,to follow
pourra,will
inspecteur,inspector
réponse,reply
lumière,light
pieds,feet
pote,mate
montre,watch
pied,foot
marcher,walk
charlie,charlie
auras,get
envoyer,to send
vraie,real
espèce,species
doivent,have to
allô,Hello
pareil,the same
vas-tu,are you
soleil,Sun
camp,camp
fallait,needed
coin,corner
ignore,unknown
moitié,half
you,you
selon,according to
tenir,hold
grosse,big
vouloir,want to
michael,michael
vieille,old
devenu,become
continuer,Continue
rend,makes
sortie,exit
recherche,research
arrière,back
lire,read
doucement,slowly
joli,pretty
avance,advanced
exact,exact
disait,said
club,club
arrivée,arrival
tue,kill
laquelle,which
poser,to pose
chaud,hot
aimé,love
david,david
fais-tu,do you
tom,tom
professeur,professor
quitter,to leave
loi,law
tueur,killer
donne-moi,give me
flics,cops
connaître,know
lettre,letter
forme,form
connaît,knows
conseil,advice
bar,bar
normal,normal
danger,danger
dangereux,dangerous
folle,crazy woman
jure,sworn
tiré,drawn
essaye,try
bonnes,good
offre,offer
but,goal
froid,cold
allez-vous,will you
prêts,loans
tranquille,quiet
gamin,kid
joe,joe
classe,classroom
joué,play
poste,post
con,cunt
mike,mike
attaque,attack
boîte,box
enquête,investigation
visite,visit
juge,judge
moi-même,myself
bord,edge
debout,standing
envoie,send
preuve,evidence
oublier,forget
bons,good
vivant,living
ciel,sky
lu,read
touche,touch
aimer,like
faites-vous,are you
télé,TV
met,puts
écouter,listen
serez,will
ll,It
pourtant,However
change,exchange
triste,sad
droite,right
gueule,mouth
tombe,falls
sentir,feel
ouvrir,to open
travers,through
santé,health
dossier,folder
ie,ie
jeunes,youth
frank,frank
coucher,sleep
cuisine,cooked
monte,mounted
pouvez-vous,can you
signifie,means
entrez,Come in
relation,relationship
centre,center
dame,lady
chacun,each
chanson,song
foutre,fuck
voler,steal
blanc,White
george,george
certain,certain
don,Don
âme,soul
manière,way
flic,cop
décision,decision
mange,eat
vit,lives
compagnie,company
déjeuner,lunch
différent,different
tire,drawn
ordres,orders
clé,key
vaisseau,vessel
secondes,seconds
enfer,hell
sortez,get out
vendre,sell
faisais,doing
responsable,responsible
mecs,guys
nulle,nothing
signe,sign
lieutenant,lieutenant
aille,go
acheté,purchased
étrange,strange
diable,Devil
viennent,are coming
monter,ascend
là-dedans,in there
l,the
capable,able
emmener,bring
écrire,to write
honte,shame
bouche,mouth
préfère,prefer
coupable,guilty
rire,to laugh
payé,paid
soin,care
milieu,middle
appartement,apartment
prochain,next
cerveau,brain
paris,Paris
blague,joke
choisi,selected
époque,time
aurez,will
voie,way
réunion,meeting
connu,known
allée,driveway
intérêt,interest
cheval,horse
combat,fight
silence,silence
coups,shots
existe,exist
ia,ia
retourne,return
tel,Phone
trou,hole
public,public
peter,to fart
oeil,eye
pleine,full
cacher,hide
amoureux,lover
drogue,drug
commandant,commanding officer
garçons,boys
faisons,do
paul,paul
n,not
tient,is holding
est-elle,is she
prise,taking
gouvernement,government
dirai,tell
client,customer
adresse,address
journal,newspaper
contact,contact
dingue,crazy
sent,feels
récupérer,recover
base,based
preuves,evidence
présente,present
peau,skin
servir,to serve
peuple,people
exemple,example
fiche,plug
max,max
promets,promise
lequel,which
blessé,injured
c,vs
société,society
tort,wrong
sept,seven
pourriez,might
savent,know
ouvert,open
héros,hero
menti,lied
mer,Wed
contente,content
quitté,quits
jeter,throw
sauvé,Safe
bière,beer
assis,seated
robe,dress
ecoutez,Listen
devient,bECOMES
félicitations,Congratulations
opération,surgery
prévu,planned
fut,was
tenez,hold
livres,books
répondre,reply
seuls,only
pute,bitch
entrée,Entrance
vol,flight
horrible,horrible
vin,wine
dommage,pity
dites-moi,tell me
auriez,would
colonel,colonel
ramener,bring back
règles,rules
nez,nose
justice,justice
fbi,FBI
découvert,discovered
départ,departure
bruit,noise
secours,help
vérifier,check
enceinte,pregnant
mise,setting
témoin,witness
dirais,say
directeur,director
intéressant,interesting
excuse,excuse
environ,about
inutile,useless
terrible,terrible
danse,dance
position,position
humain,human
apparemment,apparently
avenir,to come up
rêves,dreams
œil,eye
bête,stupid
sérieusement,seriously
bravo,well done
approche,approach
nourriture,food
fric,money
plupart,mostly
lycée,high school
tas,heap
empêcher,avoid
longue,long
sexe,sex
niveau,level
banque,bank
éviter,to avoid
étions,were
lune,Moon
pitié,pity
liberté,freedom
expérience,experience
procès,trial
radio,radio
hum,hum
verra,will
thé,tea
partez,leave
utilisé,in use
mur,Wall
pose,pose
revenu,returned
deuxième,second
bande,bandaged
asseyez-vous,sit down
certaines,some
ridicule,ridiculous
nord,North
appelez,call
copine,girlfriend
baiser,kiss
anglais,English
henry,henry
toilettes,restrooms
portes,doors
faudra,will
occupé,busy
grands,great
and,and
dérange,disturbs
rôle,role
censé,supposed
savez-vous,do you know
james,james
reine,Queen
croit,believes
cour,court
église,church
vide,empty
obtenir,get
conneries,bullshit
ennuis,trouble
personnel,staff
conduire,drive
tombé,falls
sol,ground
code,coded
huit,eight
avions,had
espoir,hope
comprenez,understand
spécial,special
vidéo,video
vêtements,clothing
défense,defense
alex,alex
sud,South
grand-mère,Grandmother
match,match
bombe,bomb
intéresse,interested
zone,zoned
tante,aunt
paraît,seems
excuser,excuse
magasin,store
marier,marry
chère,Dear
aie,Ouch
souvenir,memory
proche,close
revient,come back
danny,danny
douleur,pain
arrivera,to arrive at
presse,hurry
merveilleux,wonderful
asseoir,Sit
ravi,delighted
aimais,liked
amérique,America
fenêtre,window
mien,mine
terrain,ground
sergent,sergeant
peux-tu,can you
projet,project
quartier,district
planète,planet
certainement,certainly
rapide,fast
lorsque,when
assurer,ensure
rendu,made
mignon,cute
tourne,turned
danser,dance
bob,bob
clients,clients
petites,small
aimez,like
présenter,present
importance,importance
venus,Venus
jimmy,jimmy
sache,know
mérite,deserved
machine,machine
derniers,last
programme,program
mesdames,ladies
meilleurs,best
honnête,honest
essayez,try
irai,go
connard,shithead
occasion,opportunity
prouver,to prove
travaillé,work
glace,ice cream
ayez,have
parie,bet
camion,truck
fier,proud
discuter,discuss
village,town
spectacle,show
d',of
nul,no
rose,pink
touché,touch
mangé,eat
vis,screw
parole,speech
rencontre,meet
apprécie,appreciate
réalité,reality
savons,know
respect,respect
remettre,reset
vacances,vacation
détruire,destroy
choisir,to choose
ha,Ha
découvrir,discover
idées,ideas
officier,officer
frères,brothers
sert,serves
bill,bill
solution,solution
informations,news
attendais,expecting
monstre,monster
sexy,sexy
ordinateur,computer
retrouvé,found
nature,nature
rappeler,call back
énergie,energy
pierre,Pierre
utilise,uses
pression,pressure
chaussures,shoes
faite,done
histoires,stories
sarah,sarah
marié,married
espace,space
soient,are
nick,nick
portable,portable
préparer,to prepare
nécessaire,necessary
court,short
offrir,to offer
will,will
ai-je,have I got
tony,tony
envers,towards
bain,bath
charge,charge
mary,mary
harry,harry
jim,jim
ennemi,enemy
arrivent,arrive
immédiatement,at once
finalement,finally
énorme,huge
grand-père,grandfather
test,test
gagne,wins
réfléchir,reflect
victimes,victims
chanter,sing
futur,future
lâche,loose
mademoiselle,miss
copain,boyfriend
enlever,to take off
pensez-vous,do you think
retrouve,finds
épouser,marry
fleurs,flowers
salope,slut
aies,hast
gosse,kid
arranger,arrange
riche,rich
faits,facts
ancien,former
stop,stop
accepter,accept
restes,remains
nouveaux,new
sauter,jump
suspect,suspect
vies,lives
durant,during
invité,guest
politique,Politics
dents,teeth
patient,patient
repas,meal
urgence,emergency
cartes,cards
jambes,legs
conversation,conversation
telle,such
bus,bus
tôt,early
tourner,turn
toucher,to touch
mémoire,memory
série,series
mariée,married
contraire,opposite
vent,wind
taille,cut
donnez-moi,Give me
trouves,found
celui-là,that one
chat,cat
continuez,go on
contrat,contract
couteau,knife
double,double
dure,tough
carrière,career
excuse-moi,excuse me
ray,ray
regardé,looked
descendre,go down
université,university
sentiments,feelings
papier,paper
remarqué,Note
noms,names
vécu,lived
courage,courage
beauté,beauty
bu,drank
tais-toi,Shut up
après-midi,afternoon
excellent,excellent
assieds-toi,Sit down
richard,richard
propres,own
parmi,among
forte,strong
étant,being
couple,couple
aiment,like
permis,allowed
différence,difference
faudrait,should
course,race
humains,humans
dégage,releases
mille,thousand
accès,access
cible,target
joyeux,happy
bonheur,happiness
aimait,loved
manqué,lack
action,action
steve,steve
aidé,help
vouliez,wanted
trouvez,find
films,movies
emmène,takes
marie,married
taxi,Taxi
restaurant,restaurant
crise,crisis
piste,track
dernières,latest
puisque,since
blanche,white